area,furnishingstatus,price,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
7420,furnished,13300000,4,2,3,yes,no,no,no,yes,2,yes
8960,furnished,12250000,4,4,4,yes,no,no,no,yes,3,no
9960,semi-furnished,12250000,3,2,2,yes,no,yes,no,no,2,yes
7500,furnished,12215000,4,2,2,yes,no,yes,no,yes,3,yes
7420,furnished,11410000,4,1,2,yes,yes,yes,no,yes,2,no
7500,semi-furnished,10850000,3,3,1,yes,no,yes,no,yes,2,yes
8580,semi-furnished,10150000,4,3,4,yes,no,no,no,yes,2,yes
16200,unfurnished,10150000,5,3,2,yes,no,no,no,no,0,no
8100,furnished,9870000,4,1,2,yes,yes,yes,no,yes,2,yes
5750,unfurnished,9800000,3,2,4,yes,yes,no,no,yes,1,yes
13200,furnished,9800000,3,1,2,yes,no,yes,no,yes,2,yes
6000,semi-furnished,9681000,4,3,2,yes,yes,yes,yes,no,2,no
6550,semi-furnished,9310000,4,2,2,yes,no,no,no,yes,1,yes
3500,furnished,9240000,4,2,2,yes,no,no,yes,no,2,no
7800,semi-furnished,9240000,3,2,2,yes,no,no,no,no,0,yes
6000,semi-furnished,9100000,4,1,2,yes,no,yes,no,no,2,no
6600,unfurnished,9100000,4,2,2,yes,yes,yes,no,yes,1,yes
8500,furnished,8960000,3,2,4,yes,no,no,no,yes,2,no
4600,furnished,8890000,3,2,2,yes,yes,no,no,yes,2,no
6420,semi-furnished,8855000,3,2,2,yes,no,no,no,yes,1,yes
4320,semi-furnished,8750000,3,1,2,yes,no,yes,yes,no,2,no
7155,unfurnished,8680000,3,2,1,yes,yes,yes,no,yes,2,no
8050,furnished,8645000,3,1,1,yes,yes,yes,no,yes,1,no
4560,furnished,8645000,3,2,2,yes,yes,yes,no,yes,1,no
8800,furnished,8575000,3,2,2,yes,no,no,no,yes,2,no
6540,furnished,8540000,4,2,2,yes,yes,yes,no,yes,2,yes
6000,semi-furnished,8463000,3,2,4,yes,yes,yes,no,yes,0,yes
8875,semi-furnished,8400000,3,1,1,yes,no,no,no,no,1,no
